Location\Items,Grappling Hook,Progressive Picto Box,Iron Boots,Empty Bottle,Bait Bag,Delivery Bag,Boomerang,Progressive Bow,Hookshot,Deku Leaf,Bombs,Skull Hammer,Command Melody,Triforce Shard 1,Triforce Shard 2,Triforce Shard 3,Triforce Shard 4,Triforce Shard 5,Triforce Shard 6,Triforce Shard 7,Triforce Shard 8,Dragon Tingle Statue,Forbidden Tingle Statue,Goddess Tingle Statue,Earth Tingle Statue,Wind Tingle Statue,Din's Pearl,Farore's Pearl,Nayru's Pearl,Progressive Sword,Progressive Shield,Power Bracelets,DRC Small Key,DRC Big Key,FW Small Key,FW Big Key,TotG Small Key,TotG Big Key,ET Small Key,ET Big Key,WT Small Key,WT Big Key,Maggie's Letter,Moblin's Letter,Note to Mom,Cabana Deed,Ghost Ship Chart,Progressive Wallet,Progressive Magic Meter,Spoils Bag,Progressive Quiver,Treasure Chart 1,Treasure Chart 2,Treasure Chart 3,Treasure Chart 4,Treasure Chart 5,Treasure Chart 6,Treasure Chart 7,Treasure Chart 8,Treasure Chart 9,Treasure Chart 10,Treasure Chart 11,Treasure Chart 12,Treasure Chart 13,Treasure Chart 14,Treasure Chart 15,Treasure Chart 16,Treasure Chart 17,Treasure Chart 18,Treasure Chart 19,Treasure Chart 20,Treasure Chart 21,Treasure Chart 22,Treasure Chart 23,Treasure Chart 24,Treasure Chart 25,Treasure Chart 26,Treasure Chart 27,Treasure Chart 28,Treasure Chart 29,Treasure Chart 30,Treasure Chart 31,Treasure Chart 32,Treasure Chart 33,Treasure Chart 34,Treasure Chart 35,Treasure Chart 36,Treasure Chart 37,Treasure Chart 38,Treasure Chart 39,Treasure Chart 40,Treasure Chart 41,Triforce Chart 1,Triforce Chart 2,Triforce Chart 3,Triforce Chart 4,Triforce Chart 5,Triforce Chart 6,Triforce Chart 7,Triforce Chart 8,Tingle Tuner,Magic Armor,Piece of Heart,Heart Container,Hero's Charm,Progressive Bomb Bag,Red Chu Jelly,Green Chu Jelly,Joy Pendant,Golden Feather,Boko Baba Seed,Skull Necklace,Knight's Crest,All-Purpose Bait,Hyoi Pear,Fill-Up Coupon,Beedle's Chart,Great Fairy Chart,Light Ring Chart,Octo Chart,Platform Chart,Secret Cave Chart,Submarine Chart,Tingle's Chart,Green Rupee,Blue Rupee,Yellow Rupee,Red Rupee,Purple Rupee,Orange Rupee,Silver Rupee,Rainbow Rupee,Hurricane Spin
Windfall Island - Jail - Tingle - First Gift,145,168,121,198,147,136,136,181,165,141,134,145,124,55,42,51,53,53,50,68,49,236,226,244,253,251,221,259,220,176,149,122,0,0,0,0,0,0,0,0,0,0,158,101,136,124,131,140,183,29,44,19,17,17,20,23,12,23,14,22,21,18,8,19,25,23,14,17,19,23,24,13,16,29,22,17,11,15,12,14,25,21,18,16,18,18,18,19,20,23,16,19,13,31,21,20,16,25,9,26,23,18,867,118,22,43,31,20,212,184,32,204,71,33,75,17,17,9,21,23,15,13,23,13,32,47,63,119,238,341,337,17,18
Windfall Island - Jail - Tingle - Second Gift,131,194,138,188,134,155,126,197,124,117,133,140,125,45,52,67,54,46,53,57,62,229,256,255,197,280,236,219,263,169,182,132,0,0,0,0,0,0,0,0,0,0,126,120,128,125,120,153,185,18,35,10,12,24,29,20,23,21,17,12,13,18,22,22,19,21,18,18,28,28,19,18,18,23,20,18,15,15,12,25,14,22,24,17,23,22,20,16,23,18,18,19,17,22,19,19,26,17,15,22,15,22,846,130,13,41,14,14,234,214,20,219,55,24,91,21,21,20,10,19,10,21,11,26,16,61,77,106,225,307,336,26,18
Windfall Island - Jail - Maze Chest,128,172,135,194,139,137,113,217,120,137,149,124,117,58,57,52,61,54,39,54,49,271,244,240,230,218,240,245,246,210,156,137,0,0,0,0,0,0,0,0,0,0,141,134,110,106,140,147,173,18,43,20,26,13,17,24,17,21,21,9,18,22,18,22,18,15,16,17,26,17,16,17,14,22,21,15,18,18,19,16,27,20,15,22,23,30,16,12,18,21,13,18,16,25,21,15,11,15,17,24,19,25,846,130,20,47,26,29,200,231,15,213,60,21,89,22,14,11,16,20,21,21,14,22,18,38,66,107,243,332,359,20,18
Windfall Island - Chu Jelly Juice Shop - Give 15 Green Chu Jelly,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,59,39,17,24,27,31,27,31,25,27,24,26,27,23,24,25,25,20,27,27,34,26,28,18,35,19,25,23,18,23,29,23,29,23,28,32,33,20,22,27,32,27,34,26,29,24,22,25,24,31,23,32,1128,144,24,45,80,76,678,681,77,682,217,54,306,30,34,36,29,17,23,25,19,28,81,141,231,384,760,1194,1181,83,25
Windfall Island - Chu Jelly Juice Shop - Give 15 Blue Chu Jelly,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,44,38,22,23,20,26,27,24,23,28,31,28,28,26,29,26,24,24,19,14,32,25,22,30,14,33,31,21,32,20,24,26,28,35,28,39,28,26,30,25,28,29,24,25,20,24,26,23,18,18,33,40,1087,181,29,57,87,81,700,641,88,660,238,75,311,18,24,20,32,23,38,31,30,27,71,127,221,381,751,1223,1123,85,36
Windfall Island - Ivan - Catch Killer Bees,135,178,125,168,119,157,135,217,136,142,134,122,132,52,53,55,59,57,57,51,50,242,236,230,236,249,224,265,271,187,161,119,0,0,0,0,0,0,0,0,0,0,114,134,130,137,126,122,177,19,37,22,13,11,17,17,17,24,16,26,22,16,25,22,17,31,25,25,25,16,19,18,16,27,20,21,18,19,18,25,19,19,16,21,22,34,17,17,23,19,14,15,28,22,15,18,20,15,20,27,12,14,870,103,17,35,19,21,202,187,22,228,63,23,96,14,23,13,16,17,20,23,24,19,17,49,71,105,237,353,319,18,11
Windfall Island - Mrs. Marie - Catch Killer Bees,129,189,130,209,135,119,118,187,128,120,151,108,134,57,42,45,50,37,54,51,51,232,239,234,238,257,259,257,235,191,178,144,0,0,0,0,0,0,0,0,0,0,136,121,136,132,140,181,170,25,34,25,19,25,25,21,20,22,27,26,30,22,22,18,25,23,25,19,19,15,17,16,20,31,16,21,18,24,17,18,16,15,12,15,22,16,22,24,19,23,14,14,23,17,16,18,22,16,18,14,23,24,861,115,15,31,21,33,193,217,15,199,77,31,84,11,19,17,12,24,14,21,10,14,22,41,71,112,192,326,341,25,24
Windfall Island - Mrs. Marie - Give 1 Joy Pendant,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,60,27,19,20,20,19,24,28,26,20,25,29,31,28,25,24,32,23,20,28,16,30,26,26,19,26,21,37,28,32,25,30,32,21,28,20,28,25,31,26,26,26,30,16,33,20,21,29,31,27,25,24,1133,125,33,50,87,90,683,666,82,682,230,82,291,23,16,26,24,26,26,18,27,31,95,176,205,403,740,1160,1219,75,16
Windfall Island - Mrs. Marie - Give 21 Joy Pendants,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,49,34,19,21,22,33,28,25,22,32,17,26,31,26,23,18,19,15,36,27,25,25,23,26,28,22,24,31,22,20,20,16,16,18,31,16,25,25,31,16,28,25,25,23,17,30,25,24,30,33,23,21,1183,149,24,54,78,84,758,679,80,652,244,65,306,23,25,19,24,30,24,28,29,19,73,156,204,410,814,1126,1140,78,31
Windfall Island - Mrs. Marie - Give 40 Joy Pendants,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,69,24,20,19,20,25,22,33,22,30,29,23,26,25,26,23,26,32,26,14,33,33,24,26,24,28,10,27,31,21,24,31,25,23,25,22,26,33,22,16,20,34,16,29,21,30,33,23,15,26,28,33,1174,162,30,55,70,82,705,717,101,677,230,72,273,27,23,24,15,16,32,26,26,34,74,156,236,401,738,1136,1111,89,32
Windfall Island - Lenzo's House - Left Chest,140,333,119,205,141,126,118,343,106,160,141,146,140,56,52,62,49,50,56,56,46,92,93,87,91,91,86,90,98,401,280,149,0,0,0,0,0,0,0,0,0,0,148,123,124,140,135,173,258,29,43,17,18,21,23,17,15,29,13,18,18,17,19,22,15,18,17,21,23,25,21,20,12,23,28,16,17,16,22,20,16,27,14,17,18,19,22,20,12,25,21,22,18,20,11,23,23,23,12,32,15,16,970,140,24,36,26,28,216,190,25,228,70,19,124,17,19,21,29,22,25,20,16,20,21,54,77,124,251,394,381,30,20
Windfall Island - Lenzo's House - Right Chest,142,314,113,192,124,131,130,366,106,143,137,131,141,54,52,54,45,49,64,47,60,97,89,109,93,92,95,86,109,382,264,124,0,0,0,0,0,0,0,0,0,0,131,130,135,130,153,167,250,29,41,22,21,19,22,27,24,14,23,16,17,27,29,24,22,22,23,30,25,16,23,24,31,30,23,27,27,27,15,23,23,16,24,22,21,25,25,22,20,14,25,19,18,17,28,16,13,17,14,22,16,25,917,136,30,38,20,28,241,221,20,229,78,22,89,19,22,21,20,20,13,37,19,17,19,58,80,125,256,385,359,20,25
Windfall Island - Lenzo's House - Become Lenzo's Assistant,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,54,90,43,34,57,57,35,43,46,36,46,53,39,42,42,47,51,39,59,43,41,59,45,43,40,41,55,41,44,37,34,43,42,47,46,39,36,47,41,38,36,49,51,43,35,36,58,47,55,40,50,39,40,1918,259,36,88,54,50,423,473,48,514,151,55,197,35,45,40,54,50,60,46,36,43,42,93,150,267,531,811,734,69,48
Windfall Island - Lenzo's House - Bring Forest Firefly,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,47,87,57,49,49,59,41,48,48,50,48,56,54,42,40,54,47,43,41,44,47,43,53,32,41,39,37,46,45,53,45,34,38,49,45,45,50,45,54,38,45,45,48,46,43,44,42,29,44,32,50,51,35,1856,277,48,83,50,41,466,459,61,478,145,62,225,36,57,41,45,45,44,53,46,48,52,111,149,255,518,815,736,40,55
Windfall Island - House of Wealth Chest,158,172,137,184,159,144,127,220,148,158,143,155,135,44,58,44,47,51,55,36,42,241,240,213,229,234,257,237,240,181,167,125,0,0,0,0,0,0,0,0,0,0,135,121,128,109,128,136,154,23,36,10,23,15,25,20,15,20,15,19,22,20,28,17,11,20,15,20,21,19,18,22,12,8,16,19,17,17,26,22,31,21,17,19,21,33,25,16,13,19,17,16,22,22,26,13,17,15,17,18,17,20,864,102,19,31,22,27,213,210,22,194,57,20,101,21,17,16,15,17,17,22,20,17,20,48,80,119,250,360,325,21,15
Windfall Island - Maggie's Father - Give 20 Skull Necklaces,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,56,24,29,18,35,28,34,23,27,19,27,23,21,19,26,33,15,29,21,22,25,21,40,29,25,21,29,20,27,24,31,18,24,24,29,20,32,18,28,40,27,25,29,17,23,24,23,30,29,28,25,27,1168,149,31,53,61,78,703,690,77,691,222,63,272,20,22,21,19,22,18,29,26,24,89,147,221,405,760,1203,1175,65,19
Windfall Island - Maggie - Free Item,130,177,130,196,144,146,124,176,146,133,137,144,133,52,45,46,35,42,49,37,48,260,242,227,246,254,232,246,236,181,162,150,0,0,0,0,0,0,0,0,0,0,105,139,137,116,141,186,186,17,45,13,15,17,18,17,20,27,21,18,16,14,26,16,18,14,17,21,19,20,16,16,16,16,25,22,20,14,30,16,17,14,20,11,14,10,11,18,23,13,18,21,19,17,15,23,16,24,20,16,17,30,813,123,21,35,19,16,224,203,30,209,60,17,100,22,19,33,23,12,18,24,14,17,15,48,70,115,223,358,369,24,23
Windfall Island - Maggie - Delivery Reward,118,273,120,175,128,0,132,402,132,150,133,139,130,53,66,69,55,54,43,53,56,59,56,52,55,76,43,60,54,471,315,121,0,0,0,0,0,0,0,0,0,0,125,0,124,112,117,130,246,15,42,18,32,32,33,26,21,17,7,21,18,27,27,19,23,26,22,23,22,20,22,27,29,30,18,28,21,20,26,20,21,26,40,19,27,29,21,32,26,30,17,23,36,25,30,26,21,33,22,23,22,27,1023,140,26,52,21,21,221,264,33,258,91,32,104,18,25,21,33,22,30,20,30,32,23,72,86,130,301,421,393,30,22
Windfall Island - Cafe Bar - Postman,125,257,115,197,124,0,121,436,118,142,155,132,139,59,45,42,75,66,58,64,79,58,62,41,49,48,64,56,62,398,276,131,0,0,0,0,0,0,0,0,0,0,0,133,111,103,135,151,268,21,41,27,30,27,23,24,27,25,27,22,25,16,21,31,20,15,22,20,34,25,28,24,18,20,16,24,12,15,25,24,22,23,23,22,28,20,27,19,23,22,30,27,26,16,17,24,33,19,28,26,21,27,1037,131,22,48,29,30,257,255,30,275,79,38,100,25,18,19,25,25,26,28,22,27,28,63,92,138,251,442,437,37,19
Windfall Island - Kreeb - Light Up Lighthouse,86,188,69,142,66,52,76,301,58,91,57,61,70,79,92,79,61,68,91,72,60,34,36,26,26,33,28,21,38,334,200,63,0,0,0,0,0,0,0,0,0,0,44,71,58,63,55,87,171,31,70,35,21,33,30,28,22,33,31,38,31,15,34,34,28,39,28,30,33,41,29,26,28,28,28,35,34,41,30,32,37,34,26,34,33,24,38,30,31,29,27,28,23,32,36,35,31,29,28,35,31,33,1207,176,29,56,35,35,336,346,31,340,114,47,131,36,30,30,25,34,41,25,29,24,25,71,85,172,334,546,565,25,33
Windfall Island - Transparent Chest,72,157,59,132,47,59,62,287,55,63,63,67,81,67,85,81,78,65,71,66,73,28,31,28,30,36,23,31,32,351,211,62,0,0,0,0,0,0,0,0,0,0,79,65,55,50,69,78,175,34,60,25,31,32,28,32,35,22,28,33,26,25,34,37,31,47,35,30,30,30,37,30,38,27,34,27,27,34,31,36,34,23,20,28,23,25,29,35,28,34,32,36,33,34,34,29,32,29,36,28,34,48,1319,169,24,62,37,40,293,325,31,317,113,50,132,25,24,31,33,18,38,24,32,31,46,65,99,185,374,530,558,31,30
Windfall Island - Tott - Teach Rhythm,118,165,119,176,121,159,138,202,123,112,143,128,133,56,50,45,55,60,69,57,57,283,241,256,235,239,274,227,234,177,168,145,0,0,0,0,0,0,0,0,0,0,120,120,153,130,128,155,199,17,26,23,27,12,12,26,19,24,25,22,14,19,17,18,17,21,15,22,17,21,25,21,20,20,14,21,15,21,18,23,26,17,18,22,11,14,18,19,23,15,20,19,15,16,15,19,23,20,15,13,22,27,824,104,19,34,19,23,204,204,22,189,80,23,95,24,14,19,23,14,21,19,16,25,25,44,64,110,212,336,358,27,20
Windfall Island - Pirate Ship,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,48,82,49,45,41,50,49,54,35,41,40,45,36,47,51,56,43,34,46,46,42,49,45,40,43,54,42,49,34,44,39,44,39,44,36,41,50,52,35,48,40,35,39,44,52,42,55,41,42,46,53,37,47,1950,243,46,102,54,57,453,433,53,459,143,43,234,41,43,46,56,50,39,37,50,54,49,98,145,230,545,771,819,51,43
Windfall Island - 40 Rupee Auction,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,40,77,44,43,49,55,45,47,38,36,38,41,42,50,42,40,42,45,56,41,56,44,43,33,47,53,58,44,42,37,30,53,43,49,45,54,49,47,48,47,42,47,44,47,42,44,36,51,41,44,41,43,43,1931,257,38,102,58,48,441,457,47,483,140,56,192,56,54,37,31,56,35,43,50,42,44,117,166,229,541,820,753,59,35
Windfall Island - 60 Rupee Auction,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,46,93,59,52,46,46,35,48,33,42,52,46,37,39,41,44,44,52,51,42,43,43,34,46,41,43,46,41,40,41,44,47,38,44,38,42,45,42,52,45,56,39,39,47,41,39,42,51,40,54,43,39,50,1933,261,40,95,55,54,445,490,58,494,166,51,208,43,38,48,42,38,51,39,41,56,60,106,163,240,503,775,755,41,35
Windfall Island - 80 Rupee Auction,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,39,97,43,44,42,43,38,38,53,45,42,35,37,47,42,39,49,36,30,45,43,47,43,53,39,41,35,40,55,38,52,50,34,40,64,49,28,47,38,40,49,50,48,50,53,54,37,42,43,47,38,39,34,1988,262,43,86,52,61,462,483,48,458,167,41,207,35,38,39,29,40,53,49,43,43,61,104,172,237,457,797,815,47,49
Windfall Island - Zunari - Stock Exotic Flower in Zunari's Shop,146,270,146,213,149,0,135,356,140,168,153,167,148,60,40,63,39,61,72,65,49,108,93,87,73,87,102,68,103,359,257,131,0,0,0,0,0,0,0,0,0,0,157,133,142,143,119,155,282,21,41,25,22,20,24,26,21,17,24,11,16,24,21,14,24,24,28,16,18,21,25,25,23,23,25,27,20,19,20,23,26,24,25,21,17,20,21,22,22,23,20,26,24,22,23,22,18,17,25,15,22,19,1007,124,26,35,35,21,231,231,22,221,76,23,96,23,25,23,27,20,19,24,28,26,25,48,85,129,244,324,344,22,15
Windfall Island - Sam - Decorate the Town,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,37,87,45,34,52,49,44,42,34,48,39,30,34,36,47,41,39,50,37,56,41,35,49,44,40,38,52,50,44,52,52,52,44,41,38,49,42,41,38,43,42,49,35,45,46,38,44,37,56,45,42,46,46,1931,261,54,93,53,52,474,502,61,447,163,56,237,47,32,42,37,52,39,41,49,48,55,95,131,244,515,772,792,71,48
Windfall Island - Kane - Place Shop Guru Statue on Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,110,1038,992,116,967,344,109,456,0,0,0,0,0,0,0,0,0,101,216,314,560,1135,1670,1667,109,0
